2022-03-16 13:25:17,908 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-16 13:25:17,908 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647426317.9087913, 'user': {'account_name': 'Guest'}} на server
2022-03-16 13:25:17,924 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-16 13:25:17,924 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 05:55:02,023 DEBUG    client.py Создан объект parser
2022-03-17 05:55:02,023 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 05:55:02,024 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 05:55:02,024 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647485702.024318, 'user': {'account_name': 'Guest'}} на server
2022-03-17 05:55:02,042 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 05:55:02,042 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 05:57:54,340 DEBUG    client.py Создан объект parser
2022-03-17 05:57:54,340 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 05:57:54,341 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 05:57:54,341 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647485874.3415706, 'user': {'account_name': 'Guest'}} на server
2022-03-17 05:57:54,342 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 05:57:54,342 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 05:59:45,523 DEBUG    client.py Создан объект parser
2022-03-17 05:59:45,523 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 05:59:45,524 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 05:59:45,524 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647485985.524124, 'user': {'account_name': 'Guest'}} на server
2022-03-17 05:59:45,525 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 05:59:45,526 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 05:59:56,971 DEBUG    client.py Создан объект parser
2022-03-17 05:59:56,972 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 05:59:56,972 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 05:59:56,973 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647485996.9723775, 'user': {'account_name': 'Guest'}} на server
2022-03-17 05:59:56,976 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 05:59:56,976 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:00:17,193 DEBUG    client.py Создан объект parser
2022-03-17 06:00:17,194 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:00:17,194 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:00:17,194 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486017.1945343, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:00:17,195 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:00:17,195 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:00:23,739 DEBUG    client.py Создан объект parser
2022-03-17 06:00:23,739 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:00:23,740 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:00:23,740 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486023.7409089, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:00:23,744 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:00:23,745 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:13:29,079 DEBUG    client.py Создан объект parser
2022-03-17 06:13:29,079 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:13:29,079 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:13:29,079 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486809.0791419, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:13:29,079 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:13:29,079 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:13:32,412 DEBUG    client.py Создан объект parser
2022-03-17 06:13:32,412 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:13:32,412 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:13:32,412 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486812.4121554, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:13:32,412 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:13:32,412 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:13:37,994 DEBUG    client.py Создан объект parser
