2022-03-30 20:07:44,272 DEBUG    decors_def.py      Была вызвана функция: <arg_parser()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-30 20:07:44,272 INFO     server.py          Запущен server !Порт для подключений: 7777,Адрес с которого принимаются подключения: .Если адрес не указан, принимаются соединения с любых адресов.
2022-03-30 20:07:44,460 DEBUG    server.py          Установлено соединение с клиентом: ('127.0.0.1', 49971)
2022-03-30 20:07:44,460 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-30 20:07:44,460 DEBUG    server.py          Разбор сообщения от клиента: {'action': 'presence', 'time': 1648660064.4602149, 'user': {'account_name': 'user3'}}
2022-03-30 20:07:44,460 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <process_client_message()>.
2022-03-30 20:07:44,460 DEBUG    decors_def.py      Была вызвана функция: <process_client_message()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-30 20:07:44,491 DEBUG    server.py          Установлено соединение с клиентом: ('127.0.0.1', 49972)
2022-03-30 20:07:44,491 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-30 20:07:44,491 DEBUG    server.py          Разбор сообщения от клиента: {'action': 'presence', 'time': 1648660064.4914148, 'user': {'account_name': 'user1'}}
2022-03-30 20:07:44,491 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <process_client_message()>.
2022-03-30 20:07:44,491 DEBUG    decors_def.py      Была вызвана функция: <process_client_message()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-30 20:07:44,507 DEBUG    server.py          Установлено соединение с клиентом: ('127.0.0.1', 49973)
2022-03-30 20:07:45,021 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-30 20:07:45,021 DEBUG    server.py          Разбор сообщения от клиента: {'action': 'presence', 'time': 1648660064.507015, 'user': {'account_name': 'user2'}}
2022-03-30 20:07:45,021 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <process_client_message()>.
2022-03-30 20:07:45,021 DEBUG    decors_def.py      Была вызвана функция: <process_client_message()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-30 20:08:44,250 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-30 20:08:44,250 DEBUG    server.py          Разбор сообщения от клиента: {'action': 'message', 'sender': 'user1', 'to': 'user3', 'time': 1648660124.1099737, 'mess_text': 'Hi user3!'}
